AC11641 	 n1(cc(c2c1ccc(c2)OC)CCN(C)C)[H]
AVX38711 	 C1=CC=C(C=C1)[C@@H]2[C@@H](C3=C(O2)C(=CC=C3)C(=O)[O-])CCC(=O)[O-]
AVX38719 	 C1=CC=C(C=C1)C2=C(C3=C(O2)C(=CC=C3)C(=O)[O-])CCC(=O)[O-]
AVX38741 	 c1ccc(cc1)CN2C[N@H+](Cc3ccccc3C2=O)Cc4ccc5c(c4C(=O)[O-])OC[C@@H](O5)CCC(=O)[O-]
AVX38742 	 c1ccc\2c(c1)C/C(=N/O)/C2=C/c3ccc4c(c3C(=O)[O-])OC[C@@H](O4)CCC(=O)[O-]
AVX38743 	 c1ccc\2c(c1)C[C@@H](/C2=C/c3ccc4c(c3C(=O)[O-])O[C@H](CO4)CCC(=O)[O-])O
AVX38747 	 c1ccc2c(c1)C[C@@H]([C@@H]2Cc3ccc4c(c3C(=O)[O-])OC[C@@H](O4)CCC(=O)[O-])NC(=O)CCCCC[NH3+]
AVX38748 	 c1ccc2c(c1)C[C@@H]([C@@H]2Cc3ccc4c(c3C(=O)[O-])OC[C@@H](O4)CCC(=O)[O-])NC(=O)CCCC[NH3+]
AVX38749 	 c1ccc2c(c1)C[C@@H]([C@@H]2Cc3ccc4c(c3C(=O)[O-])OC[C@@H](O4)CCC(=O)[O-])NC(=O)CCC[NH3+]
AVX38752 	 C=CC[N@@H+](CC1=CC2=C(C(=C1)C(=O)[O-])OCO2)C3=CC=CC=C3C(=O)NCC4=CC=CC=C4
AVX38753 	 C=CC[N@H+](Cc1ccccc1C(=O)NCc2ccccc2)Cc3ccc4c(c3C(=O)[O-])OC[C@H](O4)CCC(=O)[O-]
AVX38779 	 CC[C@@H](C)NC(=O)c1ccccc1C[N@@H+](CC=C)Cc2ccc3c(c2C(=O)[O-])OC[C@@H](O3)CCC(=O)[O-]
AVX38780 	 COc1ccc(cc1)CNC(=O)c2ccccc2C[N@@H+](CC=C)Cc3ccc4c(c3C(=O)[O-])OC[C@@H](O4)CCC(=O)[O-]
AVX38781 	 C=CC[N@H+](Cc1ccccc1C(=O)NCC2CCCCC2)Cc3ccc4c(c3C(=O)[O-])OC[C@@H](O4)CCC(=O)[O-]
AVX38782 	 C=CC[N@H+](Cc1ccccc1C(=O)NCC2CCC2)Cc3ccc4c(c3C(=O)[O-])OC[C@@H](O4)CCC(=O)[O-]
AVX38783 	 C=CC[N@H+](Cc1ccccc1C(=O)NCc2ccco2)Cc3ccc4c(c3C(=O)[O-])OC[C@@H](O4)CCC(=O)[O-]
AVX38784 	 CC[C@H](C)NC(=O)c1ccccc1C[N@@H+](C)Cc2ccc3c(c2C(=O)[O-])OC[C@H](O3)CCC(=O)[O-]
AVX38785 	 C[N@H+](Cc1ccccc1C(=O)NCc2ccccc2)Cc3ccc4c(c3C(=O)[O-])OC[C@@H](O4)CCC(=O)[O-]
AVX38786 	 C[N@H+](Cc1ccccc1C(=O)NCc2ccc(cc2)OC)Cc3ccc4c(c3C(=O)[O-])OC[C@@H](O4)CCC(=O)[O-]
AVX38787 	 C[N@H+](Cc1ccccc1C(=O)NCC2CCCCC2)Cc3ccc4c(c3C(=O)[O-])OC[C@@H](O4)CCC(=O)[O-]
AVX38788 	 C[N@H+](Cc1ccccc1C(=O)NCC2CCC2)Cc3ccc4c(c3C(=O)[O-])OC[C@@H](O4)CCC(=O)[O-]
AVX38789 	 C[N@H+](Cc1ccccc1C(=O)NCc2ccco2)Cc3ccc4c(c3C(=O)[O-])OC[C@@H](O4)CCC(=O)[O-]
AVX38791 	 C1=CC=C(C=C1)C2=C(C3=C(O2)C(=CC=C3)C(=O)[O-])/C=C/C(=O)[O-]
AVX40801 	 CN1C=CC=C1/C=C\2/C3=CC=CC=C3NC2=O
AVX40811 	 CC(C)C[C@@H](Cc1ccc2c(c1C(=O)[O-])OCO2)CNC(=O)c3cccnc3
AVX40812 	 CC(C)C[C@@H](Cc1ccc2c(c1C(=O)[O-])OCO2)CNC(=O)Cc3c[nH]c4c3cccc4
AVX40813 	 C1C2=C(C=CC=C2)C3=[NH+]C4=C(C=CC=C4)C(=O)N(N31)CC5=CC=NC=C5
AVX40816 	 C1C2=C(C=CC=C2)C3=[NH+]C4=C(C=CC=C4)C(=O)N(N31)CC5=CC=CN=C5
AVX40861 	 COC1=CC=C(C=C1)CNC(=O)C2=C(C=CC=C2)OCC3=CC=C4C(=C3C(=O)[O-])OCO4
AVX40868 	 C1C2=CC(=CC=C2N(C1=O)CC3=CC=C4C(=C3C(=O)[O-])OCO4)Cl
AVX40869 	 C1C2=CC(=CC=C2N(C1=O)CC3=CC=C4C(=C3C(=O)[O-])OCO4)[NH3+]
AVX40871 	 C=C1CC2=CC=C(C=C2N1CC3=CC=C4C(=C3C(=O)[O-])OCCO4)Cl
AVX40872 	 C1COC2=C(C(=CC=C2O1)CN3C(=O)CC4=CC(=CC=C43)[NH3+])C(=O)[O-]
AVX40883 	 C1C2=CC=C(C=C2N(C1=O)CC3=CC=C4C(=C3C(=O)[O-])OCO4)Cl
AVX40909 	 CC(C)(C)C1=CC=C(C=C1C(=O)[O-])/C=C/C2=CC3=C(C=C2)OCO3
AVX40910 	 CC(C)(C)C1=CC=C(C=C1)/C=C/C2=C(C3=C(C=C2)OCO3)C(=O)[O-]
AVX40911 	 c1ccc(cc1)/C=C\c2ccc3c(c2C(=O)[O-])OCO3
AVX40915 	 C[N@H+](CC1=CC=CC=C1)CC2=C(C(=C(C=C2)OCC(=O)[O-])OC)C(=O)[O-]
AVX40916 	 C[C@@H]1CCCC[N@@H+]1CC2=C(C(=C(C=C2)OC)OCC(=O)[O-])C(=O)[O-]
AVX40944 	 C[N@H+](CC1=CC=CC=C1)CC2=C(C(=C(C=C2)OC)CCC3=CC=CC(=C3)C(=O)[O-])C(=O)[O-]
AVX40988 	 C1OC2=C(O1)C(=C(C=C2)/C=C/C3=CC=CC(=C3)Cl)C(=O)[O-]
AVX40989 	 COC1=C(C=CC(=C1C(=O)[O-])CN2CC[NH+](CC2)CC3=CC=CC=C3)OCC4=CC(=CC=C4)[C@H](O)OCC5=CC(=CC=C5)C(=O)[O-]
AVX62524 	 CC1=CC(=C(N1)/C=C\2/C3=CC=CC=C3NC2=O)C
AVX62525 	 C1C[C@@H](OC1)C[C@@H]2C3=CC=CC=C3NC2=O
AVX62526 	 C1=CNC(=C1)/C=C\2/C3=CC(=CC=C3NC2=O)[NH3+]
AVX62527 	 C1=CNC(=C1)/C=C\2/C3=CC(=CC=C3NC2=O)NC(=O)CC(=O)[O-]
AVX62528 	 C1=CNC(=C1)/C=C\2/C3=CC(=CC=C3NC2=O)Br
AVX62530 	 CC1=CC(=C(N1)/C=C\2/C3=CC(=CC=C3NC2=O)Br)C
AVX62730 	 C1COC2=C(C(=CC=C2O1)/C=C/C3=NC(=CS3)C(=O)[O-])C(=O)[O-]
AVX62772 	 C1OC2=C(O1)C(=C(C=C2)/C=C(/CN3C(=O)C4=CC=CC=C4C3=O)\C5=CC=CC=C5)C(=O)CCO
AVX62778 	 C1OC2=C(O1)C(=C(C=C2)/C=C(/CNC(=O)CC3=CNC=[NH+]3)\C4=CC=CC=C4)C(=O)[O-]
AVX62807 	 C1C[C@H]([N@H+](C1)CC2=CC=C3C(=C2C(=O)[O-])OCCO3)C(=O)N[C@H](CC4=CC=CC=C4)C5=CC=CC=C5
AVX62808 	 C1C[C@H]([N@H+](C1)CC2=CC=C3C(=C2C(=O)[O-])OCCO3)C(=O)NC(C4=CC=CC=C4)C5=CC=CC=C5
AW00496 	 c1(CN2CCCNCC2)c(Cl)cccc1F
AW00512 	 N1(Cc2ccc(F)cc2)CCCNCC1
AW00532 	 c1(CN2CCNCC2)c(Cl)cccc1F
AW00577 	 c1(N2CCC(CC2)O)nc(ccn1)C(F)(F)F
BTB01214 	 c1nccc(c1)Cc1ccc(cc1)N
BTB01373 	 N1(c2ccc(N)cc2)CCOCC1
BTB01858 	 C(c1cc(c(N2CCOCC2)cc1)N)(F)(F)F
BTB02003 	 C=1(/C(c2c(N\C1)c(F)ccc2)=O)\C(=O)OCC
BTB02219 	 N1(c2c(N)cccc2)CCOCC1
BTB03139 	 c1(c(C(=O)N)cccn1)Oc1ccccc1
BTB03582 	 n1(nc(c(n1)C)C(=O)N)c1ccccc1
BTB04351 	 N1(\C\2=N\CCN2)CC(OC(C1)C)C
BTB04985 	 N1C(C(=O)O)CSC1c1ccc(cc1)Cl
BTB05052 	 C=1(\C(Oc2c(/C1)cccc2)=O)/C(=O)OCC
BTB05684 	 n1c(n(c2c1cc(C(F)(F)F)cc2)[H])CCCO
BTB05830 	 N1(c2ccc(N)cc2)CCCCC1
BTB05877 	 n1nc(Cl)ccc1N
BTB05974 	 Cc1cc(n(n1)c1ccc(nn1)Cl)C
BTB06289 	 n1c2c(cc(N)cc2)ccc1C
BTB07325 	 C/1(=C(/C=N\N(C1=O)C)\N1CCOCC1)\Cl
BTB07444 	 n1c(scc1c1ccc(cc1)O)N
BTB07485 	 n1(c(c(cn1)C#N)N)c1ccc(cc1)Cl
BTB08015 	 c1(Oc2c(cc(cc2)F)F)ncccc1N
BTB08555 	 c1(OCc2ccccc2)c(nccc1)N
BTB08846 	 C=1(/N=C(\NC(\C1\C(=O)OC)=O)/c1ccccc1)\SC
BTB09151 	 C(c1cc(N)ccc1)(=O)c1ccccc1
BTB09252 	 C(=O)(Cc1cc(OC)ccc1)OC
BTB09284 	 C1(c2ccc(cc2)Cl)(CCNCC1)O
BTB09392 	 n1c(C(=O)OC)cc2c(c1)cccc2
BTB09929 	 n1c(oc(c1CC(=O)O)C)c1ccccc1
BTB09930 	 n1c(oc(c1CCO)C)c1ccccc1
BTB10019 	 n1c(cc2c(c1)cccc2)N
BTB10091 	 C1(c2c(C(C1)=O)cccc2)C(=O)O
BTB10270 	 c1(C(=O)C)c(ccc(c1)C)O
BTB10358 	 C(c1ncccc1)(c1ccccc1)N
BTB10447 	 n12c(ncn1)nc(cc2O)C
BTB11569 	 n12c(nc(n1)SC)nc(cc2O)C
BTB12187 	 c12cc(C(=O)C)ccc1OCCO2
BTB12321 	 c1(c2n(ccc2ccc1)[H])C(=O)OC
BTB12329 	 C1(\C=C(/c2c(N1C)cccc2)\O)=O
BTB12757 	 C12(C(=O)O)CC3(CC(C1)CC(C2)C3)O
BTB13048 	 c12c(non1)cccc2N
BTB13395 	 c1(c2ccccc2)nc(sn1)N
BTB13431 	 c12c(cn(c1cccc2)[H])CCC(O)=O
BTB13482 	 n1(c(cc(n1)C)N)c1ccccc1
BTB14322 	 N1[C@](C(=O)O)(Cc2c1cccc2)[H]
BTB15113 	 c12nc(n(c1CCCC2=O)O)c1ccccc1
BTB15228 	 N12C(C(CO)CCC1)CCCC2
BTBG00035 	 C(C1CC2CC1CCC2O)(O)=O
CC00401 	 c1(c2c(OCCCO2)ccc1)C(=O)O
CC00413 	 c1ccc(c2OCCCOc12)CN
CC00513 	 c1(c(noc1C)c1ccccc1)CN
CC00546 	 c1ccc(cc1)c1noc(c1CNC)C
CC00801 	 C(c1cc2c(OCC2)cc1)(=O)O
CC00813 	 c12c(OCC1)ccc(c2)CN
CC01301 	 C(c1cc2c(OCCO2)cc1)(=O)O
CC01309 	 c12c(OCCO1)ccc(c2)CO
CC01313 	 c12c(OCCO1)ccc(c2)CN
CC01401 	 c1(c2c(OCCO2)ccc1)C(=O)O
CC01501 	 C1(Oc2c(OC1)cccc2)C(=O)O
CC01509 	 O1c2c(OCC1CO)cccc2
CC01513 	 O1c2c(OCC1CN)cccc2
CC01601 	 C(c1cc2c(OCO2)cc1)(=O)O
CC01613 	 c12c(OCO1)ccc(c2)CN
CC01646 	 c1cc(cc2c1OCO2)CNC
CC01709 	 c12OCOc1cccc2CO
CC01909 	 c12c(cc(cc1CO)F)COCO2
CC02201 	 s1c(ccc1c1ncccc1)C(=O)O
CC02209 	 c1(sc(cc1)CO)c1ncccc1
CC02213 	 c1(sc(cc1)CN)c1ncccc1
CC03609 	 n1c(CO)cn(c1)C
CC03801 	 n1c(n(c2c1cccc2)C)C(=O)O
CC04401 	 n1c(C(=O)O)ccc2c1cccc2
CC04409 	 n1c2c(ccc1CO)cccc2
CC04501 	 C(c1cc2c(nccc2)cc1)(=O)O
CC04509 	 c1cnc2c(c1)cc(cc2)CO
CC04601 	 c1(C(=O)O)c2c(ncc1)cccc2
CC04701 	 n1c(C(=O)O)cc2c(c1)cccc2
CC05601 	 c1(cc2c(s1)nccc2)C(=O)O
CC05609 	 c1(cc2c(s1)nccc2)CO
CC05623 	 c1(cc2c(s1)nccc2)C(=O)OCC
CC05646 	 c1ccc2c(n1)sc(c2)CNC
CC05914 	 c12c(cc(cc1)N)scn2
CC06009 	 n1c(sc2c1cccc2)CO
CC06013 	 n1c(sc2c1cccc2)CN
CC06301 	 c12c(n(nc1C(=O)O)C)cccc2
CC06309 	 c12c(n(nc1CO)C)cccc2
CC06313 	 c12c(n(nc1CN)C)cccc2
CC06323 	 c12c(n(nc1C(=O)OCC)C)cccc2
CC06346 	 c12c(n(nc1CNC)C)cccc2
CC06601 	 c1(oc2c(c1)cccc2)C(=O)O
CC06609 	 o1c(cc2c1cccc2)CO
CC07109 	 c12c(occ1)ccc(c2)CO
CC07113 	 c1coc2c1cc(cc2)CN
CC09101 	 n1snc2c1c(ccc2)C(O)=O
CC09201 	 c12c(nsn1)ccc(c2)C(=O)O
CC09209 	 c12c(nsn1)ccc(c2)CO
CC09401 	 n1nc2c(s1)ccc(C(=O)O)c2
CC09609 	 c12c(non1)cccc2CO
CC09709 	 c12c(non1)ccc(c2)CO
CC10209 	 c1(c(nco1)CO)c1ccccc1
CC10422 	 c1(noc(c1)C)C(=O)OC
CC11513 	 c1(nc(cs1)CN)c1sccc1
CC11601 	 c1(C(=O)O)cc(c2sccc2)cnc1
CC11701 	 C(c1cc2nccnc2cc1)(=O)O
CC11714 	 c12cc(N)ccc1nccn2
CC12013 	 c1(sccc1)c1ccc(cc1)CN
CC12046 	 c1cc(ccc1CNC)c1sccc1
CC12296 	 c12c(sc(c1)CNC)cccc2
CC12313 	 c1(csc2c1cccc2)CN
CC12401 	 C1(C(=O)O)CN(Cc2ccccc2)CCO1
CC12409 	 N1(CC(OCC1)CO)Cc1ccccc1
CC12413 	 N1(CC(OCC1)CN)Cc1ccccc1
CC12513 	 C(N)c1cc(nn1C)C
CC12622 	 c1(nn(c(c1)C)C)C(=O)OC
CC12709 	 c1(cn(c2c1cccc2)[H])CO
CC12801 	 c1(cc2c(n1[H])cccc2)C(=O)O
CC13009 	 s1c(ccc1)CO
CC13201 	 C(c1cc2c(OCCCO2)cc1)(=O)O
CC13209 	 c12c(OCCCO1)ccc(c2)CO
CC13213 	 c12c(OCCCO1)ccc(c2)CN
CC13501 	 c12c(cc(C(=O)O)cc1)OCCN2C
CC13701 	 c1cncc(c1)c1scc(n1)C(O)=O
CC13709 	 c1cncc(c1)c1scc(n1)CO
CC14009 	 c1(c2cc(no2)CO)nc(sc1)C
CC14501 	 n1coc(c1)c1ccc(C(=O)O)cc1
CC14609 	 c1(sc(cc1)CO)c1sccc1
CC14613 	 c1(sc(cc1)CN)c1sccc1
CC14909 	 c1(oc(c(c1)CO)C)c1ccccc1
CC15501 	 c1(c(n(nc1)c1ccccc1)C)C(=O)O
CC15509 	 n1(ncc(c1C)CO)c1ccccc1
CC16201 	 n1(nc(c(n1)C)C(=O)O)c1ccccc1
CC16209 	 n1(nc(c(n1)C)CO)c1ccccc1
CC16213 	 n1(nc(c(n1)C)CN)c1ccccc1
CC16413 	 n1nc(cs1)c1ccc(cc1)CN
CC17409 	 N1(c2ccc(cc2)CO)CCOCC1
CC17413 	 N1(c2ccc(cc2)CN)CCOCC1
CC17446 	 c1(ccc(cc1)N1CCOCC1)CNC
CC17501 	 c1(ncc(C(=O)O)cc1)N1CCOCC1
CC17509 	 c1(N2CCOCC2)ncc(cc1)CO
CC17522 	 c1(ncc(C(=O)OC)cc1)N1CCOCC1
CC18209 	 c1(nc(sc1)C)c1sc(cc1)CO
CC18309 	 n1c(scc1CO)c1ccccc1
CC18313 	 n1c(scc1CN)c1ccccc1
CC18401 	 n1(nccc1)c1ccc(C(=O)O)cc1
CC18409 	 n1(nccc1)c1ccc(cc1)CO
CC18413 	 n1(nccc1)c1ccc(cc1)CN
CC18414 	 n1(nccc1)c1ccc(N)cc1
CC18509 	 n1(cncc1)c1ccc(cc1)CO
CC18528 	 n1(cncc1)c1ccc(C(=O)C)cc1
CC18546 	 n1(cncc1)c1ccc(cc1)CNC
CC18601 	 n1(ncnc1)c1ccc(C(=O)O)cc1
CC18609 	 n1(ncnc1)c1ccc(cc1)CO
CC18614 	 n1(ncnc1)c1ccc(N)cc1
CC18701 	 N1(c2ccc(C(=O)O)cc2)CCN(CC1)C
CC18713 	 N1(c2ccc(cc2)CN)CCN(CC1)C
CC19214 	 c1(c(c(nn1C)C)N)N1CCOCC1
CC19409 	 c1(cc(ccc1)CO)c1csc(n1)C
CC19414 	 n1c(csc1C)c1cc(N)ccc1
CC19446 	 s1c(nc(c1)c1cc(ccc1)CNC)C
CC19614 	 n1c(Oc2ccccc2)ccc(c1)N
CC19913 	 N1(c2c(CN)cccc2)CCCCC1
CC20101 	 c1(c(nc(nc1)C)c1ccccc1)C(=O)O
CC20201 	 c1(c(nc(nc1)c1ccccc1)C)C(=O)O
CC20209 	 n1c(ncc(c1C)CO)c1ccccc1
CC20301 	 c1(c(onc1C)c1ccccc1)C(=O)O
CC20309 	 c1(c(onc1C)c1ccccc1)CO
